dr_raw,dr_scaled_1e3,median,mean,std,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10
0.004897959183673469,4.8979591836734695,1644.0,1693.8,213.15665600679702,1659,1560,1416,1629,1962,1410,1762,2108,1606,1826
0.00510204081632653,5.1020408163265305,1578.5,1572.7,188.49352774034443,1479,1772,1487,1632,1628,1290,1574,1583,1322,1960
0.005306122448979592,5.306122448979592,1286.0,1288.9,151.52785222525924,1149,1217,1078,1381,1512,1427,1481,1138,1355,1151
0.005510204081632653,5.510204081632653,1225.5,1217.2,122.58205415149479,963,1183,1381,1067,1300,1194,1300,1350,1257,1177
0.005714285714285714,5.714285714285714,1082.0,1102.8,66.34576097988477,1139,1236,1086,1086,1209,1053,1029,1046,1066,1078
0.005918367346938775,5.918367346938775,1045.5,1056.7,64.85375856494363,1144,951,1032,1148,1059,1131,1078,1027,980,1017
0.006122448979591836,6.122448979591836,994.0,1014.2,60.89958948958523,963,1001,1120,1073,944,987,1107,1021,957,969
0.006326530612244898,6.326530612244898,898.0,916.1,73.06360242966397,830,942,881,842,1084,914,997,924,882,865
0.006530612244897959,6.530612244897959,916.0,927.5,77.17544946419166,1056,870,920,863,912,931,808,884,973,1058
0.0067346938775510205,6.73469387755102,855.5,858.9,69.01659220796111,870,816,876,741,923,943,974,789,816,841
0.0069387755102040816,6.938775510204081,810.5,826.9,97.10453130518678,801,1024,820,828,965,735,744,883,742,727
0.007142857142857143,7.142857142857142,781.0,769.8,54.48449320678316,834,797,657,823,765,696,817,802,752,755
0.007346938775510204,7.346938775510203,736.0,736.8,56.728828649990646,738,744,813,680,734,679,718,806,643,813
0.007551020408163266,7.551020408163265,710.5,711.6,46.9727580625196,711,706,664,699,613,710,743,750,797,723
0.007755102040816327,7.755102040816327,678.0,688.5,54.63561109752503,640,595,697,741,657,791,668,746,688,662
0.007959183673469388,7.959183673469388,671.0,684.4,81.71805186126258,606,640,817,786,664,538,659,775,681,678
0.00816326530612245,8.16326530612245,655.5,660.4,43.99818178061452,648,697,613,613,625,763,663,631,664,687
0.00836734693877551,8.36734693877551,616.5,629.2,64.44346359406825,557,634,572,565,619,762,614,666,586,717
0.008571428571428572,8.571428571428571,600.5,602.7,36.403433903960206,601,600,640,625,655,580,588,532,641,565
0.008775510204081632,8.775510204081632,611.5,622.3,65.9151727601468,587,592,631,564,532,659,691,723,540,704
0.008979591836734694,8.979591836734693,590.0,589.2,37.78571158520109,554,582,620,513,600,562,583,638,597,643
0.009183673469387756,9.183673469387756,564.0,562.4,45.39647563412825,502,544,476,542,609,616,596,611,574,554
0.009387755102040816,9.387755102040817,552.5,561.9,72.6160450589262,580,601,500,541,517,585,489,747,564,495
0.009591836734693878,9.591836734693878,544.0,566.6,43.54354142694414,546,522,643,528,612,609,542,518,607,539
0.009795918367346938,9.795918367346939,539.5,539.9,43.29307103913974,572,504,493,556,472,536,518,580,543,625
0.01,10.0,527.5,534.0,49.75339184417481,521,533,644,502,443,522,585,514,537,539
