dr_raw,dr_scaled_1e3,median,mean,std,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10
0.003918367346938775,3.9183673469387754,238.0,236.5,18.161773041198373,225,219,244,242,234,217,248,268,209,259
0.0040408163265306125,4.040816326530613,206.5,212.8,18.685823503394225,189,199,202,213,202,255,211,199,230,228
0.004163265306122449,4.163265306122449,210.0,208.7,17.03555106241063,237,230,216,194,204,189,184,217,196,220
0.004285714285714286,4.285714285714286,203.0,209.8,28.899134935149878,205,201,177,185,211,282,229,189,193,226
0.004408163265306122,4.408163265306122,193.5,191.4,12.379014500355026,194,194,206,212,191,181,170,175,193,198
0.004530612244897959,4.530612244897959,195.5,187.4,18.265815065307105,165,199,208,163,194,167,213,169,197,199
0.004653061224489796,4.653061224489796,184.0,182.3,15.382132491953122,184,190,194,180,152,184,168,173,213,185
0.004775510204081633,4.775510204081633,179.5,180.0,9.044335243676011,182,162,188,172,182,176,191,194,177,176
0.004897959183673469,4.8979591836734695,171.5,173.7,12.116517651536682,172,168,171,179,187,150,193,165,186,166
0.005020408163265306,5.020408163265306,166.0,164.9,10.624970588194586,166,173,160,166,156,161,170,179,141,177
0.005142857142857143,5.142857142857142,160.5,158.2,11.061645447219867,166,168,165,168,149,174,151,138,147,156
0.00526530612244898,5.26530612244898,154.0,152.1,10.3,154,160,149,154,154,137,175,145,154,139
0.005387755102040816,5.387755102040816,155.5,153.4,11.909659944767526,131,147,143,158,143,160,155,171,170,156
0.005510204081632653,5.510204081632653,150.5,149.9,8.960468737739115,129,156,154,150,146,151,146,165,146,156
0.0056326530612244895,5.63265306122449,145.5,144.2,7.068238818828917,133,145,151,149,154,146,150,142,140,132
0.005755102040816327,5.755102040816326,142.5,142.5,6.917369442208505,138,144,137,149,137,145,150,141,130,154
0.005877551020408163,5.877551020408163,134.0,136.8,6.968500556073738,141,149,134,134,124,144,134,134,143,131
0.006,6.0,130.5,133.4,9.697422337920527,138,136,149,151,129,130,131,120,126,124
