dmu,dr,n_reps,health_count,tumor_max_count,done_count,tumor_min_count,fraction
0.0295,0.020526315789473684,10,10,0,0,0,0.0
0.0295,0.022105263157894735,10,8,2,0,0,0.2
0.0295,0.02368421052631579,10,6,4,0,0,0.4
0.0295,0.02526315789473684,10,3,7,0,0,0.7
0.0295,0.026842105263157896,10,3,7,0,0,0.7
0.0295,0.028421052631578948,10,0,10,0,0,1.0
0.0295,0.03,10,0,10,0,0,1.0
0.0316,0.0,10,10,0,0,0,0.0
0.0316,0.0015789473684210526,10,10,0,0,0,0.0
0.0316,0.003157894736842105,10,10,0,0,0,0.0
0.0316,0.004736842105263158,10,10,0,0,0,0.0
0.0316,0.00631578947368421,10,10,0,0,0,0.0
0.0316,0.007894736842105263,10,10,0,0,0,0.0
0.0316,0.009473684210526316,10,10,0,0,0,0.0
0.0316,0.011052631578947368,10,10,0,0,0,0.0
0.0316,0.01263157894736842,10,10,0,0,0,0.0
0.0316,0.014210526315789474,10,10,0,0,0,0.0
0.0316,0.015789473684210527,10,10,0,0,0,0.0
0.0316,0.017368421052631578,10,10,0,0,0,0.0
0.0316,0.018947368421052633,10,10,0,0,0,0.0
0.0316,0.020526315789473684,10,10,0,0,0,0.0
0.0316,0.022105263157894735,10,10,0,0,0,0.0
0.0316,0.02368421052631579,10,10,0,0,0,0.0
0.0316,0.02526315789473684,10,10,0,0,0,0.0
0.0316,0.026842105263157896,10,10,0,0,0,0.0
0.0316,0.028421052631578948,10,10,0,0,0,0.0
0.0316,0.03,10,10,0,0,0,0.0
0.0337,0.0,10,10,0,0,0,0.0
0.0337,0.0015789473684210526,10,10,0,0,0,0.0
0.0337,0.003157894736842105,10,10,0,0,0,0.0
0.0337,0.004736842105263158,10,10,0,0,0,0.0
0.0337,0.00631578947368421,10,10,0,0,0,0.0
0.0337,0.007894736842105263,10,10,0,0,0,0.0
0.0337,0.009473684210526316,10,10,0,0,0,0.0
0.0337,0.011052631578947368,10,10,0,0,0,0.0
0.0337,0.01263157894736842,10,10,0,0,0,0.0
0.0337,0.014210526315789474,10,10,0,0,0,0.0
0.0337,0.015789473684210527,10,10,0,0,0,0.0
0.0337,0.017368421052631578,10,10,0,0,0,0.0
0.0337,0.018947368421052633,10,10,0,0,0,0.0
0.0337,0.020526315789473684,10,10,0,0,0,0.0
0.0337,0.022105263157894735,10,10,0,0,0,0.0
0.0337,0.02368421052631579,10,10,0,0,0,0.0
0.0337,0.02526315789473684,10,10,0,0,0,0.0
0.0337,0.026842105263157896,10,10,0,0,0,0.0
0.0337,0.028421052631578948,10,10,0,0,0,0.0
0.0337,0.03,10,10,0,0,0,0.0
0.0358,0.0,10,10,0,0,0,0.0
0.0358,0.0015789473684210526,10,10,0,0,0,0.0
0.0358,0.003157894736842105,10,10,0,0,0,0.0
0.0358,0.004736842105263158,10,10,0,0,0,0.0
0.0358,0.00631578947368421,10,10,0,0,0,0.0
0.0358,0.007894736842105263,10,10,0,0,0,0.0
0.0358,0.009473684210526316,10,10,0,0,0,0.0
0.0358,0.011052631578947368,10,10,0,0,0,0.0
0.0358,0.01263157894736842,10,10,0,0,0,0.0
0.0358,0.014210526315789474,10,10,0,0,0,0.0
0.0358,0.015789473684210527,10,10,0,0,0,0.0
0.0358,0.017368421052631578,10,10,0,0,0,0.0
0.0358,0.018947368421052633,10,10,0,0,0,0.0
0.0358,0.020526315789473684,10,10,0,0,0,0.0
0.0358,0.022105263157894735,10,10,0,0,0,0.0
0.0358,0.02368421052631579,10,10,0,0,0,0.0
0.0358,0.02526315789473684,10,10,0,0,0,0.0
0.0358,0.026842105263157896,10,10,0,0,0,0.0
0.0358,0.028421052631578948,10,10,0,0,0,0.0
0.0358,0.03,10,10,0,0,0,0.0
0.0379,0.0,10,10,0,0,0,0.0
0.0379,0.0015789473684210526,10,10,0,0,0,0.0
0.0379,0.003157894736842105,10,10,0,0,0,0.0
0.0379,0.004736842105263158,10,10,0,0,0,0.0
0.0379,0.00631578947368421,10,10,0,0,0,0.0
0.0379,0.007894736842105263,10,10,0,0,0,0.0
0.0379,0.009473684210526316,10,10,0,0,0,0.0
0.0379,0.011052631578947368,10,10,0,0,0,0.0
0.0379,0.01263157894736842,10,10,0,0,0,0.0
0.0379,0.014210526315789474,10,10,0,0,0,0.0
0.0379,0.015789473684210527,10,10,0,0,0,0.0
0.0379,0.017368421052631578,10,10,0,0,0,0.0
0.0379,0.018947368421052633,10,10,0,0,0,0.0
0.0379,0.020526315789473684,10,10,0,0,0,0.0
0.0379,0.022105263157894735,10,10,0,0,0,0.0
0.0379,0.02368421052631579,10,10,0,0,0,0.0
0.0379,0.02526315789473684,10,10,0,0,0,0.0
0.0379,0.026842105263157896,10,10,0,0,0,0.0
0.0379,0.028421052631578948,10,10,0,0,0,0.0
0.0379,0.03,10,10,0,0,0,0.0
0.04,0.0,10,10,0,0,0,0.0
0.04,0.0015789473684210526,10,10,0,0,0,0.0
0.04,0.003157894736842105,10,10,0,0,0,0.0
0.04,0.004736842105263158,10,10,0,0,0,0.0
0.04,0.00631578947368421,10,10,0,0,0,0.0
0.04,0.007894736842105263,10,10,0,0,0,0.0
0.04,0.009473684210526316,10,10,0,0,0,0.0
0.04,0.011052631578947368,10,10,0,0,0,0.0
0.04,0.01263157894736842,10,10,0,0,0,0.0
0.04,0.014210526315789474,10,10,0,0,0,0.0
0.04,0.015789473684210527,10,10,0,0,0,0.0
0.04,0.017368421052631578,10,10,0,0,0,0.0
0.04,0.018947368421052633,10,10,0,0,0,0.0
0.04,0.020526315789473684,10,10,0,0,0,0.0
0.04,0.022105263157894735,10,10,0,0,0,0.0
0.04,0.02368421052631579,10,10,0,0,0,0.0
0.04,0.02526315789473684,10,10,0,0,0,0.0
0.04,0.026842105263157896,10,10,0,0,0,0.0
0.04,0.028421052631578948,10,10,0,0,0,0.0
0.04,0.03,10,10,0,0,0,0.0
